duration,end time,name,start time
742.0,41483030180.0,ia,41483029438.0
87.0,41483030445.0,ia,41483030358.0
45.0,41483030608.0,ia,41483030563.0
659.0,41483031566.0,ia,41483030907.0
319.0,41483032075.0,ia,41483031756.0
94.0,41483969252.0,k,41483969158.0
65.0,41483969696.0,k,41483969631.0
65.0,41483970921.0,k,41483970856.0
86.0,41483971460.0,k,41483971374.0
77.0,41483973079.0,k,41483973002.0
64.0,41483973322.0,k,41483973258.0
129.0,41484014647.0,k,41484014518.0
77.0,41484021963.0,k,41484021886.0
63.0,41484022805.0,k,41484022742.0
40.0,41484022972.0,k,41484022932.0
42.0,41484023292.0,k,41484023250.0
92.0,41484225745.0,k,41484225653.0
176.0,41484380153.0,k,41484379977.0
285.0,41483032487.0,ia,41483032202.0
588.0,41483033350.0,ia,41483032762.0
286.0,41483033794.0,ia,41483033508.0
318.0,41483034406.0,ia,41483034088.0
4532.0,41483040460.0,y.onfinish,41483035928.0
11.0,41483040705.0,,41483040694.0
934.0,41483135563.0,ia,41483134629.0
710.0,41483136662.0,ia,41483135952.0
332.0,41483137269.0,ia,41483136937.0
1420.0,41483168544.0,ia,41483167124.0
617.0,41483237013.0,ia,41483236396.0
422.0,41483237652.0,ia,41483237230.0
244.0,41483238045.0,ia,41483237801.0
175.0,41483238304.0,ia,41483238129.0
315.0,41483238783.0,ia,41483238468.0
268.0,41483239169.0,ia,41483238901.0
1011.0,41483342015.0,ia,41483341004.0
608.0,41483342921.0,ia,41483342313.0
719.0,41483360917.0,ia,41483360198.0
837.0,41483440541.0,ia,41483439704.0
304.0,41483441174.0,ia,41483440870.0
281.0,41483441567.0,ia,41483441286.0
269.0,41483441975.0,ia,41483441706.0
265.0,41483442405.0,ia,41483442140.0
298.0,41483443118.0,ia,41483442820.0
594.0,41483543167.0,ia,41483542573.0
349.0,41483543731.0,ia,41483543382.0
799.0,41483629877.0,,41483629078.0
2561.0,41483632637.0,,41483630076.0
524.0,41483633327.0,,41483632803.0
1301.0,41483634841.0,,41483633540.0
723.0,41483635692.0,,41483634969.0
984.0,41483637895.0,,41483636911.0
643.0,41483638708.0,,41483638065.0
368.0,41483639603.0,ia,41483639235.0
225.0,41483639907.0,ia,41483639682.0
155.0,41483640115.0,ia,41483639960.0
148.0,41483640970.0,,41483640822.0
109.0,41483641199.0,aa,41483641090.0
28.0,41483641286.0,u,41483641258.0
367.0,41483641789.0,ia,41483641422.0
98.0,41483642066.0,ia,41483641968.0
408.0,41483642883.0,ia,41483642475.0
72.0,41483643114.0,ia,41483643042.0
52.0,41483643258.0,ia,41483643206.0
576.0,41483644000.0,ia,41483643424.0
761.0,41483646590.0,,41483645829.0
