name,start time,end time,duration
e.onload.e.onreadystatechange,661545668000.0,661545669000.0,1000.0
,661545670000.0,661545680000.0,10000.0
,661545838000.0,661545838000.0,0.0
x.resize.handler,661545838000.0,661545839000.0,1000.0
,661545839000.0,661545839000.0,0.0
,661545839000.0,661545839000.0,0.0
,661545839000.0,661545839000.0,0.0
,661545839000.0,661545839000.0,0.0
,661545839000.0,661545839000.0,0.0
k,661545844000.0,661545873000.0,29000.0
k,661545875000.0,661545879000.0,4000.0
,661545879000.0,661545879000.0,0.0
k,661545879000.0,661545881000.0,2000.0
,661545881000.0,661545881000.0,0.0
p,661545881000.0,661545882000.0,1000.0
k,661545882000.0,661545883000.0,1000.0
,661545884000.0,661545884000.0,0.0
k,661545884000.0,661545885000.0,1000.0
,661545897000.0,661545898000.0,1000.0
,661545909000.0,661545910000.0,1000.0
,661545910000.0,661545910000.0,0.0
,661545910000.0,661545910000.0,0.0
,661545910000.0,661545910000.0,0.0
,661545910000.0,661545910000.0,0.0
U,661545910000.0,661545912000.0,2000.0
findAndSendMessage,661546110000.0,661546110000.0,0.0
P.s,661546114000.0,661546114000.0,0.0
findAndSendMessage,661546114000.0,661546114000.0,0.0
e.onload.e.onreadystatechange,661546120000.0,661546121000.0,1000.0
,661546154000.0,661546154000.0,0.0
k,661546161000.0,661546163000.0,2000.0
,661546163000.0,661546163000.0,0.0
k,661546163000.0,661546165000.0,2000.0
k,661546165000.0,661546166000.0,1000.0
p,661546166000.0,661546166000.0,0.0
k,661546166000.0,661546167000.0,1000.0
,661546167000.0,661546167000.0,0.0
k,661546167000.0,661546167000.0,0.0
receiveMessage,661546176000.0,661546177000.0,1000.0
,661546178000.0,661546178000.0,0.0
,661546178000.0,661546178000.0,0.0
,661546178000.0,661546178000.0,0.0
,661546178000.0,661546178000.0,0.0
,661546178000.0,661546178000.0,0.0
,661546178000.0,661546178000.0,0.0
receiveMessage,661546178000.0,661546178000.0,0.0
r,661546178000.0,661546181000.0,3000.0
,661546181000.0,661546181000.0,0.0
e,661546181000.0,661546181000.0,0.0
,661546181000.0,661546181000.0,0.0
,661546181000.0,661546181000.0,0.0
,661546182000.0,661546182000.0,0.0
,661546182000.0,661546193000.0,11000.0
,661546193000.0,661546203000.0,10000.0
U,661546203000.0,661546203000.0,0.0
,661546207000.0,661546209000.0,2000.0
,661546209000.0,661546214000.0,5000.0
,661546214000.0,661546215000.0,1000.0
p,661546231000.0,661546232000.0,1000.0
onload,661546392000.0,661546399000.0,7000.0
,661546399000.0,661546401000.0,2000.0
,661546419000.0,661546430000.0,11000.0
,661546431000.0,661546456000.0,25000.0
messageEventListener,661546457000.0,661546458000.0,1000.0
I,661546458000.0,661546459000.0,1000.0
receiveMessage,661546459000.0,661546460000.0,1000.0
messageEventListener,661546460000.0,661546460000.0,0.0
I,661546460000.0,661546461000.0,1000.0
,661546461000.0,661546461000.0,0.0
receiveMessage,661546461000.0,661546461000.0,0.0
,661546461000.0,661546462000.0,1000.0
handleClickTagMessage,661546462000.0,661546462000.0,0.0
handleClickTagMessage,661546464000.0,661546464000.0,0.0
r,661547087000.0,661547087000.0,0.0
k,661547088000.0,661547098000.0,10000.0
k,661547098000.0,661547099000.0,1000.0
d,661547101000.0,661547104000.0,3000.0
k,661547104000.0,661547105000.0,1000.0
,661547105000.0,661547105000.0,0.0
k,661547109000.0,661547117000.0,8000.0
k,661547117000.0,661547117000.0,0.0
,661547117000.0,661547118000.0,1000.0
k,661547118000.0,661547118000.0,0.0
k,661547118000.0,661547125000.0,7000.0
p,661547125000.0,661547126000.0,1000.0
k,661547127000.0,661547128000.0,1000.0
c,661547128000.0,661547129000.0,1000.0
,661547132000.0,661547132000.0,0.0
P.s,661547133000.0,661547133000.0,0.0
,661547133000.0,661547133000.0,0.0
,661547133000.0,661547133000.0,0.0
,661547133000.0,661547133000.0,0.0
,661547133000.0,661547133000.0,0.0
,661547133000.0,661547133000.0,0.0
,661547134000.0,661547134000.0,0.0
,661547134000.0,661547135000.0,1000.0
,661547135000.0,661547135000.0,0.0
O.lazyRender,661547136000.0,661547136000.0,0.0
,661547137000.0,661547148000.0,11000.0
receiveMessage,661547159000.0,661547159000.0,0.0
messageEventListener,661547160000.0,661547160000.0,0.0
I,661547160000.0,661547160000.0,0.0
,661547160000.0,661547170000.0,10000.0
,661547171000.0,661547348000.0,177000.0
receiveMessage,661547348000.0,661547349000.0,1000.0
findAndSend,661547352000.0,661547352000.0,0.0
findAndSend,661547352000.0,661547352000.0,0.0
,661547352000.0,661547352000.0,0.0
,661547352000.0,661547352000.0,0.0
e,661547352000.0,661547354000.0,2000.0
sb,661547397000.0,661547397000.0,0.0
,661547398000.0,661547398000.0,0.0
,661547399000.0,661547399000.0,0.0
tick,661547399000.0,661547399000.0,0.0
,661547399000.0,661547399000.0,0.0
,661547399000.0,661547399000.0,0.0
,661547399000.0,661547399000.0,0.0
messageEventListener,661547399000.0,661547400000.0,1000.0
I,661547400000.0,661547400000.0,0.0
,661547417000.0,661547417000.0,0.0
,661547417000.0,661547428000.0,11000.0
,661547428000.0,661547428000.0,0.0
p,661547429000.0,661547430000.0,1000.0
,661547434000.0,661547447000.0,13000.0
messageEventListener,661547448000.0,661547449000.0,1000.0
I,661547449000.0,661547450000.0,1000.0
r,661547450000.0,661547451000.0,1000.0
,661547451000.0,661547458000.0,7000.0
,661547458000.0,661547458000.0,0.0
messageEventListener,661547458000.0,661547460000.0,2000.0
I,661547460000.0,661547460000.0,0.0
receiveMessage,661547460000.0,661547460000.0,0.0
receiveMessage,661547461000.0,661547461000.0,0.0
sb,661547463000.0,661547463000.0,0.0
tick,661547463000.0,661547464000.0,1000.0
,661547464000.0,661547473000.0,9000.0
,661547474000.0,661547474000.0,0.0
,661547474000.0,661547474000.0,0.0
,661547474000.0,661547474000.0,0.0
,661547474000.0,661547474000.0,0.0
,661547475000.0,661547475000.0,0.0
,661547475000.0,661547475000.0,0.0
,661547476000.0,661547476000.0,0.0
tick,661547476000.0,661547476000.0,0.0
sb,661547476000.0,661547476000.0,0.0
tick,661547479000.0,661547479000.0,0.0
,661547532000.0,661547536000.0,4000.0
,661547537000.0,661547538000.0,1000.0
,661547538000.0,661547538000.0,0.0
,661547538000.0,661547538000.0,0.0
fireViewableLatencyMetrics,661547558000.0,661547559000.0,1000.0
,661547577000.0,661547583000.0,6000.0
k,661547584000.0,661547586000.0,2000.0
window._navbar.declareOnLoad,661547586000.0,661547587000.0,1000.0
,661547587000.0,661547587000.0,0.0
,661547587000.0,661547587000.0,0.0
,661547587000.0,661547587000.0,0.0
e,661547587000.0,661547587000.0,0.0
ready,661547587000.0,661547588000.0,1000.0
k,661547588000.0,661547593000.0,5000.0
sb,661547623000.0,661547623000.0,0.0
tick,661547623000.0,661547625000.0,2000.0
c,661547625000.0,661547625000.0,0.0
