duration,end time,name,start time
30.0,41440567620.0,crumbsElement.window.requestAnimationFrame,41440567590.0
417.0,41440580181.0,_updateTimer.setTimeout,41440579764.0
14.0,41440580339.0,_onTimeout,41440580325.0
624.0,41440585259.0,_invoke,41440584635.0
97.0,41440585426.0,_update,41440585329.0
53.0,41440585523.0,_update,41440585470.0
43.0,41440585608.0,_update,41440585565.0
1740.0,41440587380.0,_updateTimerId.element.window.requestAnimationFrame,41440585640.0
696.0,41440588285.0,_updateTimerId.element.window.requestAnimationFrame,41440587589.0
95.0,41441153517.0,_mouseMove,41441153422.0
50.0,41441169955.0,_mouseMove,41441169905.0
85.0,41441187092.0,_mouseMove,41441187007.0
71.0,41441203892.0,_mouseMove,41441203821.0
62.0,41441221845.0,_hide,41441221783.0
13.0,41441221948.0,_hide,41441221935.0
9.0,41441221999.0,_hide,41441221990.0
18.0,41441222066.0,_hide,41441222048.0
7.0,41441222106.0,_hide,41441222099.0
7.0,41441222145.0,_hide,41441222138.0
11.0,41441222240.0,_hide,41441222229.0
20.0,41441222293.0,_hide,41441222273.0
9.0,41441222344.0,_hide,41441222335.0
7.0,41441222390.0,_hide,41441222383.0
10.0,41441222428.0,_hide,41441222418.0
9.0,41441222495.0,_hide,41441222486.0
6.0,41441222542.0,_hide,41441222536.0
6.0,41441222576.0,_hide,41441222570.0
7.0,41441222622.0,_hide,41441222615.0
6.0,41441222674.0,_hide,41441222668.0
7.0,41441222712.0,_hide,41441222705.0
6.0,41441222746.0,_hide,41441222740.0
98.0,41441580023.0,_updateTimer,41441579925.0
98.0,41442579718.0,_updateTimer,41442579620.0
426.0,41442677142.0,UI._windowBlurred,41442676716.0
25.0,41442704867.0,_onTimeout,41442704842.0
48.0,41442705175.0,_onTimeout,41442705127.0
760.0,41442706172.0,_invoke,41442705412.0
40.0,41442819898.0,_onTimeout,41442819858.0
142.0,41442842860.0,_onWindowResize,41442842718.0
211.0,41442843138.0,_reset,41442842927.0
2162.0,41442845350.0,doResize,41442843188.0
1755.0,41442847397.0,_update,41442845642.0
1144.0,41442848637.0,_invoke,41442847493.0
1580.0,41442850305.0,_updateTimerId.element.window.requestAnimationFrame,41442848725.0
691.0,41442851091.0,update,41442850400.0
36.0,41442872385.0,_onTimeout,41442872349.0
23.0,41442890199.0,_onTimeout,41442890176.0
18.0,41442890893.0,_onTimeout,41442890875.0
20.0,41442897926.0,_onTimeout,41442897906.0
21.0,41442902025.0,_onTimeout,41442902004.0
31.0,41442922798.0,_onWindowResize,41442922767.0
130.0,41442923013.0,_reset,41442922883.0
619.0,41442923682.0,doResize,41442923063.0
716.0,41442924451.0,_invoke,41442923735.0
1038.0,41442925542.0,_updateTimerId.element.window.requestAnimationFrame,41442924504.0
125.0,41442925763.0,update,41442925638.0
31.0,41442942864.0,_onTimeout,41442942833.0
20.0,41442948931.0,_onTimeout,41442948911.0
25.0,41442966264.0,_onTimeout,41442966239.0
36.0,41442969319.0,_onTimeout,41442969283.0
26.0,41442995369.0,_onTimeout,41442995343.0
20.0,41443362858.0,_onTimeout,41443362838.0
14.0,41443363005.0,_onTimeout,41443362991.0
13.0,41443377832.0,_onTimeout,41443377819.0
20.0,41443474316.0,_onTimeout,41443474296.0
17.0,41443508559.0,_onTimeout,41443508542.0
24.0,41443525076.0,_onTimeout,41443525052.0
17.0,41443534261.0,_onWindowResize,41443534244.0
