name,start time,end time,duration
_tick,746937516000.0,746937516000.0,0.0
,746937516000.0,746937517000.0,1000.0
,746937519000.0,746937519000.0,0.0
_tick,746937519000.0,746937520000.0,1000.0
,746937520000.0,746937520000.0,0.0
_tick,746937523000.0,746937523000.0,0.0
,746937523000.0,746937523000.0,0.0
_tick,746937538000.0,746937539000.0,1000.0
,746937539000.0,746937539000.0,0.0
,746937539000.0,746937539000.0,0.0
_tick,746937555000.0,746937555000.0,0.0
,746937555000.0,746937557000.0,2000.0
_tick,746937573000.0,746937573000.0,0.0
,746937573000.0,746937573000.0,0.0
_tick,746937588000.0,746937588000.0,0.0
,746937588000.0,746937588000.0,0.0
_tick,746937605000.0,746937605000.0,0.0
,746937605000.0,746937606000.0,1000.0
_tick,746937622000.0,746937622000.0,0.0
,746937622000.0,746937622000.0,0.0
_tick,746937638000.0,746937638000.0,0.0
,746937638000.0,746937638000.0,0.0
,746937639000.0,746937639000.0,0.0
_tick,746937656000.0,746937656000.0,0.0
,746937656000.0,746937658000.0,2000.0
_tick,746937673000.0,746937673000.0,0.0
,746937673000.0,746937673000.0,0.0
_tick,746937688000.0,746937688000.0,0.0
,746937689000.0,746937689000.0,0.0
_tick,746937705000.0,746937705000.0,0.0
,746937706000.0,746937707000.0,1000.0
_tick,746937722000.0,746937722000.0,0.0
,746937722000.0,746937722000.0,0.0
,746937739000.0,746937739000.0,0.0
_tick,746937739000.0,746937739000.0,0.0
,746937739000.0,746937739000.0,0.0
_tick,746937755000.0,746937755000.0,0.0
,746937755000.0,746937756000.0,1000.0
_tick,746937772000.0,746937772000.0,0.0
,746937772000.0,746937773000.0,1000.0
_tick,746937789000.0,746937789000.0,0.0
,746937789000.0,746937791000.0,2000.0
_tick,746937806000.0,746937806000.0,0.0
,746937806000.0,746937806000.0,0.0
_tick,746937823000.0,746937824000.0,1000.0
,746937824000.0,746937825000.0,1000.0
_tick,746937839000.0,746937839000.0,0.0
,746937839000.0,746937839000.0,0.0
,746937839000.0,746937839000.0,0.0
_tick,746937856000.0,746937856000.0,0.0
,746937856000.0,746937856000.0,0.0
_tick,746937872000.0,746937872000.0,0.0
,746937872000.0,746937874000.0,2000.0
_tick,746937888000.0,746937888000.0,0.0
,746937888000.0,746937888000.0,0.0
_tick,746937907000.0,746937907000.0,0.0
,746937907000.0,746937908000.0,1000.0
_tick,746937922000.0,746937922000.0,0.0
,746937922000.0,746937922000.0,0.0
_tick,746937938000.0,746937938000.0,0.0
,746937938000.0,746937939000.0,1000.0
,746937939000.0,746937939000.0,0.0
_tick,746937955000.0,746937955000.0,0.0
,746937955000.0,746937957000.0,2000.0
_tick,746937972000.0,746937973000.0,1000.0
,746937973000.0,746937973000.0,0.0
_tick,746937989000.0,746937989000.0,0.0
,746937989000.0,746937990000.0,1000.0
_tick,746938005000.0,746938005000.0,0.0
,746938005000.0,746938006000.0,1000.0
_tick,746938022000.0,746938022000.0,0.0
,746938022000.0,746938023000.0,1000.0
_tick,746938038000.0,746938038000.0,0.0
,746938038000.0,746938039000.0,1000.0
,746938041000.0,746938041000.0,0.0
_tick,746938055000.0,746938055000.0,0.0
,746938055000.0,746938055000.0,0.0
_tick,746938073000.0,746938073000.0,0.0
,746938073000.0,746938074000.0,1000.0
_tick,746938088000.0,746938088000.0,0.0
,746938088000.0,746938089000.0,1000.0
_tick,746938105000.0,746938106000.0,1000.0
,746938106000.0,746938106000.0,0.0
_tick,746938122000.0,746938122000.0,0.0
,746938122000.0,746938124000.0,2000.0
_tick,746938138000.0,746938138000.0,0.0
,746938138000.0,746938139000.0,1000.0
,746938139000.0,746938139000.0,0.0
_tick,746938155000.0,746938156000.0,1000.0
,746938156000.0,746938157000.0,1000.0
_tick,746938172000.0,746938172000.0,0.0
,746938172000.0,746938172000.0,0.0
_tick,746938188000.0,746938188000.0,0.0
,746938188000.0,746938188000.0,0.0
_tick,746938205000.0,746938205000.0,0.0
,746938205000.0,746938206000.0,1000.0
_tick,746938222000.0,746938222000.0,0.0
,746938222000.0,746938222000.0,0.0
_tick,746938238000.0,746938238000.0,0.0
,746938238000.0,746938239000.0,1000.0
,746938239000.0,746938239000.0,0.0
_tick,746938255000.0,746938255000.0,0.0
,746938255000.0,746938256000.0,1000.0
_tick,746938272000.0,746938272000.0,0.0
,746938273000.0,746938273000.0,0.0
_tick,746938289000.0,746938289000.0,0.0
,746938289000.0,746938290000.0,1000.0
_tick,746938306000.0,746938306000.0,0.0
,746938307000.0,746938307000.0,0.0
_tick,746938323000.0,746938323000.0,0.0
,746938323000.0,746938324000.0,1000.0
_tick,746938339000.0,746938339000.0,0.0
,746938339000.0,746938339000.0,0.0
,746938340000.0,746938340000.0,0.0
_tick,746938356000.0,746938356000.0,0.0
,746938356000.0,746938356000.0,0.0
_tick,746938372000.0,746938372000.0,0.0
,746938373000.0,746938374000.0,1000.0
_tick,746938388000.0,746938388000.0,0.0
,746938388000.0,746938388000.0,0.0
_tick,746938405000.0,746938405000.0,0.0
,746938405000.0,746938405000.0,0.0
_tick,746938422000.0,746938423000.0,1000.0
,746938423000.0,746938424000.0,1000.0
,746938439000.0,746938439000.0,0.0
,746938439000.0,746938440000.0,1000.0
,746938440000.0,746938442000.0,2000.0
i.onMouseMove,746938442000.0,746938442000.0,0.0
,746938442000.0,746938443000.0,1000.0
_tick,746938443000.0,746938443000.0,0.0
,746938443000.0,746938443000.0,0.0
,746938447000.0,746938447000.0,0.0
i.onMouseMove,746938456000.0,746938456000.0,0.0
,746938456000.0,746938456000.0,0.0
_tick,746938456000.0,746938457000.0,1000.0
,746938457000.0,746938458000.0,1000.0
,746938473000.0,746938473000.0,0.0
,746938473000.0,746938473000.0,0.0
,746938474000.0,746938474000.0,0.0
,746938474000.0,746938474000.0,0.0
,746938474000.0,746938475000.0,1000.0
i.onMouseMove,746938475000.0,746938476000.0,1000.0
,746938476000.0,746938476000.0,0.0
_tick,746938476000.0,746938476000.0,0.0
,746938476000.0,746938476000.0,0.0
i.onMouseMove,746938489000.0,746938489000.0,0.0
,746938489000.0,746938489000.0,0.0
_tick,746938489000.0,746938490000.0,1000.0
,746938490000.0,746938490000.0,0.0
,746938506000.0,746938506000.0,0.0
,746938506000.0,746938506000.0,0.0
,746938506000.0,746938506000.0,0.0
,746938506000.0,746938506000.0,0.0
,746938506000.0,746938506000.0,0.0
i.onMouseMove,746938506000.0,746938506000.0,0.0
,746938507000.0,746938507000.0,0.0
_tick,746938507000.0,746938507000.0,0.0
,746938507000.0,746938508000.0,1000.0
i.onMouseMove,746938522000.0,746938523000.0,1000.0
,746938523000.0,746938523000.0,0.0
_tick,746938523000.0,746938523000.0,0.0
,746938523000.0,746938523000.0,0.0
,746938538000.0,746938539000.0,1000.0
,746938539000.0,746938539000.0,0.0
,746938539000.0,746938539000.0,0.0
,746938539000.0,746938539000.0,0.0
,746938539000.0,746938540000.0,1000.0
,746938540000.0,746938541000.0,1000.0
i.onMouseMove,746938541000.0,746938542000.0,1000.0
,746938542000.0,746938542000.0,0.0
_tick,746938542000.0,746938542000.0,0.0
,746938542000.0,746938543000.0,1000.0
,746938545000.0,746938545000.0,0.0
i.onMouseMove,746938556000.0,746938556000.0,0.0
,746938556000.0,746938556000.0,0.0
_tick,746938556000.0,746938557000.0,1000.0
,746938557000.0,746938557000.0,0.0
,746938573000.0,746938574000.0,1000.0
,746938574000.0,746938574000.0,0.0
,746938574000.0,746938574000.0,0.0
,746938574000.0,746938574000.0,0.0
,746938574000.0,746938574000.0,0.0
,746938574000.0,746938575000.0,1000.0
,746938575000.0,746938575000.0,0.0
i.onMouseMove,746938575000.0,746938575000.0,0.0
,746938575000.0,746938575000.0,0.0
_tick,746938575000.0,746938575000.0,0.0
,746938575000.0,746938575000.0,0.0
i.onMouseMove,746938589000.0,746938589000.0,0.0
,746938589000.0,746938589000.0,0.0
_tick,746938589000.0,746938589000.0,0.0
,746938589000.0,746938590000.0,1000.0
_tick,746938605000.0,746938605000.0,0.0
,746938605000.0,746938606000.0,1000.0
_tick,746938623000.0,746938623000.0,0.0
,746938623000.0,746938624000.0,1000.0
,746938639000.0,746938639000.0,0.0
,746938639000.0,746938640000.0,1000.0
,746938640000.0,746938640000.0,0.0
,746938640000.0,746938640000.0,0.0
,746938641000.0,746938641000.0,0.0
,746938641000.0,746938641000.0,0.0
,746938641000.0,746938641000.0,0.0
i.onMouseMove,746938641000.0,746938641000.0,0.0
,746938641000.0,746938641000.0,0.0
_tick,746938642000.0,746938642000.0,0.0
,746938642000.0,746938642000.0,0.0
,746938643000.0,746938643000.0,0.0
i.onMouseMove,746938657000.0,746938657000.0,0.0
,746938657000.0,746938657000.0,0.0
_tick,746938657000.0,746938657000.0,0.0
,746938657000.0,746938658000.0,1000.0
i.onMouseMove,746938673000.0,746938673000.0,0.0
,746938673000.0,746938673000.0,0.0
_tick,746938674000.0,746938674000.0,0.0
,746938674000.0,746938674000.0,0.0
i.onMouseMove,746938689000.0,746938689000.0,0.0
,746938689000.0,746938689000.0,0.0
_tick,746938689000.0,746938689000.0,0.0
,746938689000.0,746938689000.0,0.0
i.onMouseMove,746938707000.0,746938707000.0,0.0
,746938707000.0,746938707000.0,0.0
_tick,746938707000.0,746938707000.0,0.0
,746938707000.0,746938708000.0,1000.0
_tick,746938722000.0,746938723000.0,1000.0
,746938723000.0,746938723000.0,0.0
,746938739000.0,746938739000.0,0.0
_tick,746938739000.0,746938739000.0,0.0
,746938740000.0,746938740000.0,0.0
_tick,746938756000.0,746938756000.0,0.0
,746938756000.0,746938757000.0,1000.0
_tick,746938773000.0,746938773000.0,0.0
,746938773000.0,746938773000.0,0.0
_tick,746938788000.0,746938788000.0,0.0
,746938788000.0,746938788000.0,0.0
_tick,746938806000.0,746938806000.0,0.0
,746938806000.0,746938807000.0,1000.0
_tick,746938823000.0,746938823000.0,0.0
,746938823000.0,746938823000.0,0.0
,746938839000.0,746938839000.0,0.0
_tick,746938839000.0,746938839000.0,0.0
,746938839000.0,746938839000.0,0.0
_tick,746938856000.0,746938856000.0,0.0
,746938856000.0,746938857000.0,1000.0
_tick,746938873000.0,746938873000.0,0.0
,746938873000.0,746938873000.0,0.0
_tick,746938888000.0,746938888000.0,0.0
,746938888000.0,746938888000.0,0.0
_tick,746938906000.0,746938906000.0,0.0
,746938907000.0,746938908000.0,1000.0
_tick,746938922000.0,746938922000.0,0.0
,746938922000.0,746938922000.0,0.0
_tick,746938939000.0,746938939000.0,0.0
,746938939000.0,746938939000.0,0.0
,746938939000.0,746938940000.0,1000.0
,746938943000.0,746938943000.0,0.0
,746938943000.0,746938944000.0,1000.0
,746938944000.0,746938944000.0,0.0
,746938944000.0,746938945000.0,1000.0
,746938946000.0,746938946000.0,0.0
,746938946000.0,746938946000.0,0.0
s_h8.Ea,746938947000.0,746938947000.0,0.0
s_.EVa,746938947000.0,746938947000.0,0.0
,746938947000.0,746938948000.0,1000.0
zl.tF,746938948000.0,746938948000.0,0.0
b,746938948000.0,746938948000.0,0.0
_tick,746938955000.0,746938955000.0,0.0
,746938955000.0,746938957000.0,2000.0
_tick,746938973000.0,746938973000.0,0.0
,746938973000.0,746938973000.0,0.0
_tick,746938988000.0,746938988000.0,0.0
,746938988000.0,746938988000.0,0.0
_tick,746939005000.0,746939005000.0,0.0
,746939005000.0,746939006000.0,1000.0
i.onMouseUp,746939022000.0,746939023000.0,1000.0
,746939023000.0,746939024000.0,1000.0
,746939024000.0,746939024000.0,0.0
,746939024000.0,746939024000.0,0.0
